Angle of Repose,Length to Width Ratio,Coeff of Friction,Mass,Volume,Length to Width s.d.,Coeff of Friction s.d.,Volume s.d.,Mass s.d.
34.60672996,1.385,0.583,0.533,0.176,0.267,0.047,0.043878779,0.214375061
36.32260965,1.385,0.583,0.533,0.176,0.267,0.047,0.043878779,0.214375061
36.19932975,1.385,0.583,0.533,0.176,0.267,0.047,0.043878779,0.214375061
33.55366409,1.385,0.583,0.533,0.176,0.267,0.047,0.043878779,0.214375061
27.75755803,1.385,0.583,0.533,0.176,0.267,0.047,0.043878779,0.214375061
30.38862335,1.385,0.583,0.533,0.176,0.267,0.047,0.043878779,0.214375061
33.0822167,1.385,0.583,0.533,0.176,0.267,0.047,0.043878779,0.214375061
31.4159626,1.385,0.583,0.533,0.176,0.267,0.047,0.043878779,0.214375061
34.38831916,1.385,0.583,0.533,0.176,0.267,0.047,0.043878779,0.214375061
32.49840012,1.385,0.583,0.533,0.176,0.267,0.047,0.043878779,0.214375061
35.7989586,1.272,0.557,4.72,2.519,0.155,0.052,1.562181167,2.45611708
38.0747021,1.272,0.557,4.72,2.519,0.155,0.052,1.562181167,2.45611708
33.35492952,1.272,0.557,4.72,2.519,0.155,0.052,1.562181167,2.45611708
36.02243746,1.272,0.557,4.72,2.519,0.155,0.052,1.562181167,2.45611708
41.2752557,1.272,0.557,4.72,2.519,0.155,0.052,1.562181167,2.45611708
40.64969936,1.272,0.557,4.72,2.519,0.155,0.052,1.562181167,2.45611708
37.90624473,1.272,0.557,4.72,2.519,0.155,0.052,1.562181167,2.45611708
31.65448594,1.272,0.557,4.72,2.519,0.155,0.052,1.562181167,2.45611708
31.75645369,1.272,0.557,4.72,2.519,0.155,0.052,1.562181167,2.45611708
32.99034355,1.272,0.557,4.72,2.519,0.155,0.052,1.562181167,2.45611708
37.25081506,1.222081324,0.563482353,14.593,7.241,0.16098038,0.02888933,2.397778833,4.925660813
39.21320756,1.222081324,0.563482353,14.593,7.241,0.16098038,0.02888933,2.397778833,4.925660813
33.30891282,1.222081324,0.563482353,14.593,7.241,0.16098038,0.02888933,2.397778833,4.925660813
36.78472627,1.222081324,0.563482353,14.593,7.241,0.16098038,0.02888933,2.397778833,4.925660813
44.80124454,1.222081324,0.563482353,14.593,7.241,0.16098038,0.02888933,2.397778833,4.925660813
41.30873719,1.222081324,0.563482353,14.593,7.241,0.16098038,0.02888933,2.397778833,4.925660813
34.4160015,1.222081324,0.563482353,14.593,7.241,0.16098038,0.02888933,2.397778833,4.925660813
50.04080156,1.222081324,0.563482353,14.593,7.241,0.16098038,0.02888933,2.397778833,4.925660813
37.98818669,1.222081324,0.563482353,14.593,7.241,0.16098038,0.02888933,2.397778833,4.925660813
38.90844647,1.222081324,0.563482353,14.593,7.241,0.16098038,0.02888933,2.397778833,4.925660813
35.58430454,1.267052702,0.553931488,25.786,14.266,0.131967956,0.032270903,4.912526392,8.171057595
36.24908352,1.267052702,0.553931488,25.786,14.266,0.131967956,0.032270903,4.912526392,8.171057595
47.45468841,1.267052702,0.553931488,25.786,14.266,0.131967956,0.032270903,4.912526392,8.171057595
44.24309766,1.267052702,0.553931488,25.786,14.266,0.131967956,0.032270903,4.912526392,8.171057595
37.86757331,1.267052702,0.553931488,25.786,14.266,0.131967956,0.032270903,4.912526392,8.171057595
45.68326406,1.267052702,0.553931488,25.786,14.266,0.131967956,0.032270903,4.912526392,8.171057595
40.49769132,1.267052702,0.553931488,25.786,14.266,0.131967956,0.032270903,4.912526392,8.171057595
43.0837915,1.267052702,0.553931488,25.786,14.266,0.131967956,0.032270903,4.912526392,8.171057595
30.99947536,1.267052702,0.553931488,25.786,14.266,0.131967956,0.032270903,4.912526392,8.171057595
40.65009156,1.267052702,0.553931488,25.786,14.266,0.131967956,0.032270903,4.912526392,8.171057595
39.64117483,1.362760551,0.583963959,54.88888889,29.75333333,0.256290567,0.046354286,15.87450787,25.01721629
50.36414743,1.362760551,0.583963959,54.88888889,29.75333333,0.256290567,0.046354286,15.87450787,25.01721629
32.48379135,1.362760551,0.583963959,54.88888889,29.75333333,0.256290567,0.046354286,15.87450787,25.01721629
49.92387591,1.362760551,0.583963959,54.88888889,29.75333333,0.256290567,0.046354286,15.87450787,25.01721629
40.72138471,1.362760551,0.583963959,54.88888889,29.75333333,0.256290567,0.046354286,15.87450787,25.01721629
46.66156343,1.362760551,0.583963959,54.88888889,29.75333333,0.256290567,0.046354286,15.87450787,25.01721629
46.9874333,1.362760551,0.583963959,54.88888889,29.75333333,0.256290567,0.046354286,15.87450787,25.01721629
31.58479656,1.362760551,0.583963959,54.88888889,29.75333333,0.256290567,0.046354286,15.87450787,25.01721629
41.4199156,1.362760551,0.583963959,54.88888889,29.75333333,0.256290567,0.046354286,15.87450787,25.01721629
45.3558437,1.362760551,0.583963959,54.88888889,29.75333333,0.256290567,0.046354286,15.87450787,25.01721629
